         11020588 function calls (11019761 primitive calls) in 3.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:436(PercentStyle)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.000    0.000 std.py:952(__init__)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
       19    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.000    0.000 bz2.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _regex_core.py:803(parse_paren)
       34    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
       38    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
      245    0.000    0.000    0.000    0.000 enum.py:1128(__new__)
       11    0.000    0.000    0.000    0.000 {built-in method _io.open}
        1    0.000    0.000    0.000    0.000 std.py:245(tqdm)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       32    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
  659/649    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       19    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        3    0.000    0.000    0.000    0.000 __init__.py:355(namedtuple)
       26    0.000    0.000    0.000    0.000 enum.py:1550(__or__)
      647    0.000    0.000    0.000    0.000 enum.py:1543(_get_value)
       20    0.000    0.000    0.000    0.000 enum.py:1413(_missing_)
      264    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       12    0.000    0.000    0.000    0.000 utils.py:386(disp_trim)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1116(parse_flags_subpattern)
      265    0.000    0.000    0.000    0.000 enum.py:849(__setattr__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      106    0.000    0.000    0.000    0.000 __init__.py:164(match)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
     2526    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
        1    0.000    0.000    0.000    0.000 _regex_core.py:1102(parse_subpattern)
     1675    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
        2    0.000    0.000    0.000    0.000 _regex_core.py:1417(parse_set)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        2    0.000    0.000    0.000    0.000 std.py:1265(close)
       60    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
       39    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:73(RegexFlag)
        1    0.000    0.000    0.000    0.000 utils.py:333(_screen_shape_linux)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      472    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.000    0.000 utils.py:76(wrap)
      113    0.000    0.000    0.000    0.000 enum.py:1403(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
       67    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       49    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      2/1    0.000    0.000    0.000    0.000 _regex_core.py:2039(optimise)
      119    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 inspect.py:3346(signature)
      371    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      370    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.000    0.000 inspect.py:3081(from_callable)
